# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   86       1.059114180794e-09       2.576611634642e-14       4.886684495643e-12       0.000000000000e+00       2.174845013852e-11       9.118670883263e-13      -4.657850621063e-15 
   87       1.044059052099e-09       2.653291766983e-14       4.910838627355e-12       0.000000000000e+00       2.116087747001e-11       8.826969790681e-13      -4.598013404816e-15 
   88       1.029260411705e-09       2.730654568117e-14       4.933329753744e-12       0.000000000000e+00       2.059466461198e-11       8.545894300875e-13      -4.552806553677e-15 
   89       1.014718047004e-09       2.808664064144e-14       4.954162126890e-12       0.000000000000e+00       2.004900732812e-11       8.274476659996e-13      -4.519456927234e-15 
   90       1.000426257340e-09       2.887283436664e-14       4.973341421169e-12       0.000000000000e+00       1.952280359052e-11       8.011553513173e-13      -4.494856896291e-15 
   91       9.863736250355e-10       2.966475032377e-14       4.990874724024e-12       0.000000000000e+00       1.901464250650e-11       7.755759136895e-13      -4.475554152774e-15 
   92       9.725427864245e-10       3.046200372671e-14       5.006770526731e-12       0.000000000000e+00       1.852279324557e-11       7.505518671398e-13      -4.457741519636e-15 
   93       9.589175498301e-10       3.126419271575e-14       5.021037507845e-12       0.000000000000e+00       1.804562603916e-11       7.259458124485e-13      -4.438006939650e-15 
   94       9.455059714307e-10       3.207087017012e-14       5.033680694288e-12       0.000000000000e+00       1.758297166131e-11       7.017719620838e-13      -4.415734605442e-15 
   95       9.323203428120e-10       3.288156781375e-14       5.044704703137e-12       0.000000000000e+00       1.713494689230e-11       6.780832374091e-13      -4.391047799483e-15 
   96       9.193700268551e-10       3.369580472782e-14       5.054114872032e-12       0.000000000000e+00       1.670153559087e-11       6.549312508335e-13      -4.364081134080e-15 
   97       9.066613296168e-10       3.451308732437e-14       5.061917233377e-12       0.000000000000e+00       1.628258355205e-11       6.323662011452e-13      -4.334980796142e-15 
   98       8.941973722099e-10       3.533290931983e-14       5.068118488536e-12       0.000000000000e+00       1.587779336511e-11       6.104367688455e-13      -4.303904791932e-15 
   99       8.819779626842e-10       3.615475170856e-14       5.072725982021e-12       0.000000000000e+00       1.548671927137e-11       5.891900114826e-13      -4.271023191825e-15 
  100       8.699994679068e-10       3.697808273643e-14       5.075747675692e-12       0.000000000000e+00       1.510876202213e-11       5.686712589849e-13      -4.236518375069e-15 
  101       8.582546854425e-10       3.780235787431e-14       5.077192122953e-12       0.000000000000e+00       1.474316373652e-11       5.489240089955e-13      -4.200585274540e-15 
  102       8.467327154345e-10       3.862701979169e-14       5.077068442943e-12       0.000000000000e+00       1.438900275938e-11       5.299898222050e-13      -4.163431621501e-15 
  103       8.354188324849e-10       3.945149833018e-14       5.075386294731e-12       0.000000000000e+00       1.404518851914e-11       5.119082176861e-13      -4.125278190360e-15 
  104       8.242997133853e-10       4.027522440474e-14       5.072156530851e-12       0.000000000000e+00       1.371071434716e-11       4.947074745891e-13      -4.086336733485e-15 
  105       8.133802005235e-10       4.109767390298e-14       5.067393314015e-12       0.000000000000e+00       1.338546590625e-11       4.783758475427e-13      -4.046739863848e-15 
