# Matter power spectrum P(k) at redshift z=0
# for k=1.04291e-05 to 1.05913 h/Mpc,
# number of wavenumbers equal to 598
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.857419858834e-02       1.049703066714e+04 
       7.065762567043e-02       1.021769263414e+04 
       7.296512124246e-02       9.896365134702e+03 
       7.549021966436e-02       9.526800676668e+03 
       7.821122293735e-02       9.110333246767e+03 
       8.109479595792e-02       8.653037763804e+03 
       8.410308186996e-02       8.169044862803e+03 
       8.720073988106e-02       7.674654003284e+03 
       9.035909855248e-02       7.189724476735e+03 
       9.355710659592e-02       6.730976509873e+03 
       9.678033118528e-02       6.312025728795e+03 
       1.000193159372e-01       5.941690205502e+03 
       1.032680430732e-01       5.623936749228e+03 
       1.065227526378e-01       5.358364381996e+03 
       1.097811218948e-01       5.140586435200e+03 
       1.130417258591e-01       4.963637672068e+03 
       1.163036939243e-01       4.818493432286e+03 
       1.195664954523e-01       4.695409895971e+03 
       1.228298074158e-01       4.584389453535e+03 
       1.260934332556e-01       4.476540226465e+03 
       1.293572533404e-01       4.363619157916e+03 
       1.326211947971e-01       4.240888876924e+03 
       1.358852131642e-01       4.105235494166e+03 
       1.391492812451e-01       3.956595521765e+03 
       1.424133823380e-01       3.796738243475e+03 
       1.456775061262e-01       3.629469461222e+03 
       1.489416461816e-01       3.460112870347e+03 
       1.522057984494e-01       3.293408334729e+03 
       1.554699603265e-01       3.134555439934e+03 
       1.587341301024e-01       2.987535244772e+03 
       1.619983066178e-01       2.855322851077e+03 
       1.652624890576e-01       2.739471866535e+03 
       1.685266768232e-01       2.640322601665e+03 
       1.717908694555e-01       2.556852446262e+03 
       1.750550665870e-01       2.487017534018e+03 
       1.783192679118e-01       2.428374943121e+03 
       1.815834731673e-01       2.377662823280e+03 
       1.848476821226e-01       2.331830083243e+03 
       1.881118945708e-01       2.288207067053e+03 
       1.913761103238e-01       2.244407510056e+03 
       1.946403292093e-01       2.197703852693e+03 
       1.979045510681e-01       2.146520129661e+03 
       2.011687757527e-01       2.090573552514e+03 
       2.044330031255e-01       2.029912792528e+03 
       2.076972330582e-01       1.965578886445e+03 
       2.109614654307e-01       1.899117390063e+03 
       2.142257001302e-01       1.832216595943e+03 
       2.174899370512e-01       1.766858074098e+03 
       2.207541760943e-01       1.704346148163e+03 
       2.240184171659e-01       1.646107831092e+03 
       2.272826601781e-01       1.592811102678e+03 
       2.305469050478e-01       1.544822409464e+03 
       2.338111516966e-01       1.502334186520e+03 
       2.370754000506e-01       1.465018554460e+03 
       2.403396500398e-01       1.432262089614e+03 
       2.436039015980e-01       1.403342548954e+03 
       2.468681546626e-01       1.377189060877e+03 
       2.501324091743e-01       1.352737499733e+03 
       2.533966650767e-01       1.329055601858e+03 
       2.566609223164e-01       1.305273268608e+03 
       2.599251808428e-01       1.280748550833e+03 
       2.631894406077e-01       1.254959356320e+03 
       2.664537015652e-01       1.227811480554e+03 
       2.697179636719e-01       1.199463308019e+03 
       2.729822268862e-01       1.170007530460e+03 
       2.762464911687e-01       1.140042810413e+03 
       2.795107564817e-01       1.109886627416e+03 
       2.827750227893e-01       1.080119242526e+03 
       2.860392900574e-01       1.051301364058e+03 
       2.893035582531e-01       1.023865190563e+03 
       2.925678273452e-01       9.981601989644e+02 
       2.958320973040e-01       9.744277002288e+02 
       2.990963681009e-01       9.526831592839e+02 
       3.023606397086e-01       9.328399413531e+02 
       3.056249121010e-01       9.146710480515e+02 
       3.088891852531e-01       8.979222970633e+02 
       3.121534591409e-01       8.822362309216e+02 
       3.154177337415e-01       8.672890485206e+02 
       3.186820090329e-01       8.528036300990e+02 
       3.219462849938e-01       8.385188484093e+02 
       3.252105616042e-01       8.241096025540e+02 
       3.284748388445e-01       8.094950574855e+02 
       3.317391166959e-01       7.945666262762e+02 
       3.350033951407e-01       7.793236426968e+02 
       3.382676741615e-01       7.638350654970e+02 
       3.415319537417e-01       7.482658358597e+02 
       3.447962338654e-01       7.326645539585e+02 
       3.480605145172e-01       7.173360694656e+02 
       3.513247956823e-01       7.023916935883e+02 
       3.545890773464e-01       6.879868631870e+02 
       3.578533594959e-01       6.741543897489e+02 
       3.611176421176e-01       6.610328811146e+02 
       3.643819251986e-01       6.486219830422e+02 
       3.676462087267e-01       6.368962211347e+02 
       3.709104926901e-01       6.258315755416e+02 
       3.741747770772e-01       6.153739083591e+02 
       3.774390618771e-01       6.054410264066e+02 
       3.807033470791e-01       5.958518159488e+02 
       3.839676326729e-01       5.865136921689e+02 
       3.872319186486e-01       5.773705736508e+02 
       3.904962049964e-01       5.682644666141e+02 
       3.937604917072e-01       5.592287560823e+02 
       3.970247787720e-01       5.501726995546e+02 
       4.002890661820e-01       5.411126384834e+02 
       4.035533539288e-01       5.320682003766e+02 
       4.068176420043e-01       5.230618047562e+02 
       4.100819304007e-01       5.141052236087e+02 
       4.133462191102e-01       5.052899657353e+02 
       4.166105081255e-01       4.966388766734e+02 
       4.198747974395e-01       4.881953017861e+02 
       4.231390870452e-01       4.800107169939e+02 
       4.264033769358e-01       4.721309812093e+02 
       4.296676671049e-01       4.644940622585e+02 
       4.329319575461e-01       4.571661825236e+02 
       4.361962482533e-01       4.501052573755e+02 
       4.394605392206e-01       4.432871822831e+02 
       4.427248304421e-01       4.366846376587e+02 
       4.459891219123e-01       4.302840725080e+02 
       4.492534136258e-01       4.240527619852e+02 
       4.525177055772e-01       4.179517290280e+02 
       4.557819977614e-01       4.119633084129e+02 
       4.590462901735e-01       4.060454975470e+02 
       4.623105828085e-01       4.002121681159e+02 
       4.655748756618e-01       3.944334278966e+02 
       4.688391687289e-01       3.887055697775e+02 
       4.721034620052e-01       3.830337266954e+02 
       4.753677554864e-01       3.774285808314e+02 
       4.786320491684e-01       3.719025997548e+02 
       4.818963430470e-01       3.664672081517e+02 
       4.851606371183e-01       3.611336050284e+02 
       4.884249313783e-01       3.559023623440e+02 
       4.916892258233e-01       3.507903669559e+02 
       4.949535204497e-01       3.458014219072e+02 
       4.982178152538e-01       3.409421025782e+02 
       5.014821102322e-01       3.362158837031e+02 
       5.047464053815e-01       3.316220838697e+02 
       5.080107006984e-01       3.271534749234e+02 
       5.112749961796e-01       3.227979388099e+02 
       5.145392918221e-01       3.185406179692e+02 
       5.178035876227e-01       3.143675828038e+02 
       5.210678835785e-01       3.102672078322e+02 
       5.243321796865e-01       3.062466131968e+02 
       5.275964759440e-01       3.022710253183e+02 
       5.308607723482e-01       2.983419877887e+02 
       5.341250688963e-01       2.944764921693e+02 
       5.373893655858e-01       2.906599098051e+02 
       5.406536624141e-01       2.868925103961e+02 
       5.439179593786e-01       2.831731030693e+02 
       5.471822564770e-01       2.795172471860e+02 
       5.504465537067e-01       2.759120546771e+02 
       5.537108510656e-01       2.723716494133e+02 
       5.569751485514e-01       2.688889262368e+02 
       5.602394461617e-01       2.654923436671e+02 
       5.635037438944e-01       2.621663422228e+02 
       5.667680417475e-01       2.589085754980e+02 
       5.700323397188e-01       2.557153754113e+02 
       5.732966378063e-01       2.525846158532e+02 
       5.765609360081e-01       2.495134943923e+02 
       5.798252343221e-01       2.465017580075e+02 
       5.830895327466e-01       2.435465706817e+02 
       5.863538312796e-01       2.406443089181e+02 
       5.896181299194e-01       2.377902670581e+02 
       5.928824286641e-01       2.349794539761e+02 
       5.961467275121e-01       2.322196309817e+02 
       5.994110264617e-01       2.294864344298e+02 
       6.026753255112e-01       2.267918476768e+02 
       6.059396246589e-01       2.241374655367e+02 
       6.092039239034e-01       2.215238143930e+02 
       6.124682232430e-01       2.189513421292e+02 
       6.157325226762e-01       2.164186726112e+02 
       6.189968222016e-01       2.139138365022e+02 
       6.222611218177e-01       2.114574752587e+02 
       6.255254215231e-01       2.090389665960e+02 
       6.287897213164e-01       2.066600108017e+02 
       6.320540211961e-01       2.043222711896e+02 
       6.353183211611e-01       2.020258107687e+02 
       6.385826212099e-01       1.997708148407e+02 
       6.418469213413e-01       1.975545146593e+02 
       6.451112215540e-01       1.953744618927e+02 
       6.483755218468e-01       1.932282184487e+02 
       6.516398222185e-01       1.911142745066e+02 
       6.549041226679e-01       1.890323147842e+02 
       6.581684231939e-01       1.869823242722e+02 
       6.614327237952e-01       1.849641428621e+02 
       6.646970244709e-01       1.829765062114e+02 
       6.679613252198e-01       1.810175783053e+02 
       6.712256260408e-01       1.790861666330e+02 
       6.744899269329e-01       1.771795508614e+02 
       6.777542278950e-01       1.752983117428e+02 
       6.810185289262e-01       1.734431239009e+02 
       6.842828300255e-01       1.716152225949e+02 
       6.875471311918e-01       1.698153409261e+02 
       6.908114324243e-01       1.680433461162e+02 
       6.940757337220e-01       1.662979591547e+02 
       6.973400350839e-01       1.645780321857e+02 
       7.006043365092e-01       1.628823341785e+02 
       7.038686379970e-01       1.612105552467e+02 
       7.071329395465e-01       1.595629872035e+02 
       7.103972411567e-01       1.579401702223e+02 
       7.136615428269e-01       1.563422644814e+02 
       7.169258445561e-01       1.547685802044e+02 
       7.201901463437e-01       1.532178336684e+02 
       7.234544481888e-01       1.516883618678e+02 
       7.267187500907e-01       1.501788939511e+02 
       7.299830520485e-01       1.486889641844e+02 
       7.332473540616e-01       1.472187713082e+02 
       7.365116561291e-01       1.457688928957e+02 
       7.397759582505e-01       1.443400022375e+02 
       7.430402604249e-01       1.429308033794e+02 
       7.463045626516e-01       1.415408710341e+02 
       7.495688649301e-01       1.401688989534e+02 
       7.528331672595e-01       1.388143562396e+02 
       8.190356558425e-01       1.148882721941e+02 
       9.127882573649e-01       8.985799936457e+01 
       1.059129399967e+00       6.386989381709e+01 
