# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  118       6.912251299038e-10       5.184341075843e-14       4.865413971954e-12       4.895337371552e-16       9.934739406733e-12       3.234990020238e-13      -3.528319761417e-15 
  119       6.832162931821e-10       5.259818510050e-14       4.841053402621e-12       4.981424100583e-16       9.718073794732e-12       3.139114862966e-13      -3.492059957709e-15 
  120       6.754061778242e-10       5.334374027510e-14       4.815467754814e-12       5.068431051827e-16       9.507413297287e-12       3.045228836761e-13      -3.456497622719e-15 
  121       6.677961570454e-10       5.407954341705e-14       4.788681941318e-12       5.156364632325e-16       9.302679330562e-12       2.953400970403e-13      -3.421589184748e-15 
  122       6.603863503653e-10       5.480506071004e-14       4.760721342416e-12       5.245231292944e-16       9.103755341443e-12       2.863692694097e-13      -3.387282370889e-15 
  123       6.531755849912e-10       5.551975757786e-14       4.731611787142e-12       5.335037527272e-16       8.910485732555e-12       2.776157572091e-13      -3.353515970731e-15 
  124       6.461613572011e-10       5.622309887544e-14       4.701379534529e-12       5.425789870514e-16       8.722674787271e-12       2.690841035292e-13      -3.320219600078e-15 
  125       6.393397937269e-10       5.691454908009e-14       4.670051254865e-12       5.517494898382e-16       8.540085594731e-12       2.607780113890e-13      -3.287313464653e-15 
  126       6.327056131372e-10       5.759357248258e-14       4.637654010942e-12       5.610159225997e-16       8.362438974850e-12       2.527003169968e-13      -3.254708123816e-15 
  127       6.262520872208e-10       5.825963337833e-14       4.604215239312e-12       5.703789506778e-16       8.189412403333e-12       2.448529630127e-13      -3.222304254271e-15 
